"Subject","Start Date","Start Time","End Date","End Time","Description"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №1","02/11/2025","11:15 AM","02/11/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №1","02/11/2025","01:10 PM","02/11/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","11:15 AM","02/12/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","01:10 PM","02/12/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","02:55 PM","02/12/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","04:40 PM","02/12/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/13/2025","11:15 AM","02/13/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №1","02/13/2025","01:10 PM","02/13/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/13/2025","02:55 PM","02/13/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/13/2025","04:40 PM","02/13/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1","02/14/2025","07:45 AM","02/14/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №1","02/14/2025","09:30 AM","02/14/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №1","02/15/2025","02:55 PM","02/15/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №1","02/15/2025","04:40 PM","02/15/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №2","02/18/2025","11:15 AM","02/18/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №1","02/18/2025","01:10 PM","02/18/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/19/2025","11:15 AM","02/19/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/19/2025","01:10 PM","02/19/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/19/2025","02:55 PM","02/19/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/19/2025","04:40 PM","02/19/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/20/2025","11:15 AM","02/20/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №2","02/20/2025","01:10 PM","02/20/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №4","02/20/2025","02:55 PM","02/20/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/20/2025","04:40 PM","02/20/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №2","02/21/2025","07:45 AM","02/21/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №2","02/21/2025","09:30 AM","02/21/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №2","02/22/2025","02:55 PM","02/22/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №2","02/22/2025","04:40 PM","02/22/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №3","02/25/2025","11:15 AM","02/25/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №2","02/25/2025","01:10 PM","02/25/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №1","02/26/2025","07:45 AM","02/26/2025","09:20 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №1","02/26/2025","09:30 AM","02/26/2025","11:05 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/26/2025","11:15 AM","02/26/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/26/2025","01:10 PM","02/26/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/27/2025","11:15 AM","02/27/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №3","02/27/2025","01:10 PM","02/27/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №5","02/27/2025","02:55 PM","02/27/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №4","02/27/2025","04:40 PM","02/27/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №3","02/28/2025","07:45 AM","02/28/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №3","02/28/2025","09:30 AM","02/28/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №3","03/01/2025","02:55 PM","03/01/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №3","03/01/2025","04:40 PM","03/01/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №4","03/04/2025","11:15 AM","03/04/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №4","03/04/2025","01:10 PM","03/04/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №1","03/04/2025","02:55 PM","03/04/2025","04:30 PM","ОС Пз DL ПЗПІ-23-5"
"ПрПА Пз DL ПЗПІ-23-5; №1","03/05/2025","07:45 AM","03/05/2025","09:20 AM","ПрПА Пз DL ПЗПІ-23-5"
"ПрПА Пз DL ПЗПІ-23-5; №1","03/05/2025","09:30 AM","03/05/2025","11:05 AM","ПрПА Пз DL ПЗПІ-23-5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №4","03/05/2025","11:15 AM","03/05/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №4","03/05/2025","01:10 PM","03/05/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №4","03/06/2025","11:15 AM","03/06/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №4","03/06/2025","01:10 PM","03/06/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №6","03/06/2025","02:55 PM","03/06/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №6","03/06/2025","04:40 PM","03/06/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №4","03/07/2025","07:45 AM","03/07/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №4","03/07/2025","09:30 AM","03/07/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *МСП Пз DL *МСП(ПЗПІ-23-)-1; *ОDS Пз DL *ОDS(ПЗПІ-23-)-1; №1","03/07/2025","11:15 AM","03/07/2025","12:50 PM","*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *МСП Пз DL *МСП(ПЗПІ-23-)-1; *ОDS Пз DL *ОDS(ПЗПІ-23-)-1"
"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *ОDS Пз DL *ОDS(ПЗПІ-23-)-1; №1","03/07/2025","01:10 PM","03/07/2025","02:45 PM","*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *ОDS Пз DL *ОDS(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №4","03/08/2025","02:55 PM","03/08/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №4","03/08/2025","04:40 PM","03/08/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-5; №1","03/11/2025","07:45 AM","03/11/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №1","03/11/2025","09:30 AM","03/11/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №5","03/11/2025","11:15 AM","03/11/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №3","03/11/2025","01:10 PM","03/11/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №1","03/12/2025","07:45 AM","03/12/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №1","03/12/2025","09:30 AM","03/12/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №5","03/12/2025","11:15 AM","03/12/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №5","03/12/2025","01:10 PM","03/12/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №5","03/13/2025","11:15 AM","03/13/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №5","03/13/2025","01:10 PM","03/13/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №7","03/13/2025","02:55 PM","03/13/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №5","03/13/2025","04:40 PM","03/13/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №5","03/14/2025","07:45 AM","03/14/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №5","03/14/2025","09:30 AM","03/14/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"СмП Пз DL ПЗПІ-23-5; №1","03/14/2025","11:15 AM","03/14/2025","12:50 PM","СмП Пз DL ПЗПІ-23-5"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №5","03/15/2025","02:55 PM","03/15/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №5","03/15/2025","04:40 PM","03/15/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОПJа Пз DL ПЗПІ-23-5; №1","03/18/2025","07:45 AM","03/18/2025","09:20 AM","ОПJа Пз DL ПЗПІ-23-5"
"ОПJа Пз DL ПЗПІ-23-5; №1","03/18/2025","09:30 AM","03/18/2025","11:05 AM","ОПJа Пз DL ПЗПІ-23-5"
"ІМ Пз DL_1, DL ПЗПІ-23-5; №1","03/18/2025","11:15 AM","03/18/2025","12:50 PM","ІМ Пз DL_1, DL ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №2","03/18/2025","01:10 PM","03/18/2025","02:45 PM","ОС Пз DL ПЗПІ-23-5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №6","03/19/2025","11:15 AM","03/19/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №6","03/19/2025","01:10 PM","03/19/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №6","03/20/2025","11:15 AM","03/20/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №6","03/20/2025","01:10 PM","03/20/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №8","03/20/2025","02:55 PM","03/20/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №6","03/20/2025","04:40 PM","03/20/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №6","03/21/2025","07:45 AM","03/21/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №6","03/21/2025","09:30 AM","03/21/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №1","03/21/2025","11:15 AM","03/21/2025","12:50 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №1","03/21/2025","01:10 PM","03/21/2025","02:45 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"СмП Лб DL ПЗПІ-23-5; №1","03/22/2025","11:15 AM","03/22/2025","12:50 PM","СмП Лб DL ПЗПІ-23-5"
"СмП Лб DL ПЗПІ-23-5; №1","03/22/2025","01:10 PM","03/22/2025","02:45 PM","СмП Лб DL ПЗПІ-23-5"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №6","03/22/2025","02:55 PM","03/22/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №6","03/22/2025","04:40 PM","03/22/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-5; №2","03/25/2025","07:45 AM","03/25/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №2","03/25/2025","09:30 AM","03/25/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №6","03/25/2025","11:15 AM","03/25/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №4","03/25/2025","01:10 PM","03/25/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №1","03/26/2025","07:45 AM","03/26/2025","09:20 AM","ОПJа Лб DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №1","03/26/2025","09:30 AM","03/26/2025","11:05 AM","ОПJа Лб DL ПЗПІ-23-5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №7","03/26/2025","11:15 AM","03/26/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №7","03/26/2025","01:10 PM","03/26/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №7","03/27/2025","11:15 AM","03/27/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №7","03/27/2025","01:10 PM","03/27/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №9","03/27/2025","02:55 PM","03/27/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №9","03/27/2025","04:40 PM","03/27/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №7","03/28/2025","07:45 AM","03/28/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №7","03/28/2025","09:30 AM","03/28/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №7","03/29/2025","02:55 PM","03/29/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №7","03/29/2025","04:40 PM","03/29/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №7","04/01/2025","11:15 AM","04/01/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №7","04/01/2025","01:10 PM","04/01/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №3","04/01/2025","02:55 PM","04/01/2025","04:30 PM","ОС Пз DL ПЗПІ-23-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №2","04/02/2025","07:45 AM","04/02/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №2","04/02/2025","09:30 AM","04/02/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №8","04/02/2025","11:15 AM","04/02/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №7","04/02/2025","01:10 PM","04/02/2025","02:45 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Пз DL *МСП(ПЗПІ-23-)-1; *ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1; №1","04/05/2025","02:55 PM","04/05/2025","04:30 PM","*МСП Пз DL *МСП(ПЗПІ-23-)-1; *ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1"
