"Subject","Start Date","Start Time","End Date","End Time","Description"
"*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1; №1","04/05/2025","04:40 PM","04/05/2025","06:15 PM","*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-5; №3","04/08/2025","07:45 AM","04/08/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №3","04/08/2025","09:30 AM","04/08/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №8","04/08/2025","11:15 AM","04/08/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №5","04/08/2025","01:10 PM","04/08/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №8","04/09/2025","11:15 AM","04/09/2025","12:50 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №8","04/09/2025","01:10 PM","04/09/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №8","04/10/2025","11:15 AM","04/10/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №8","04/10/2025","01:10 PM","04/10/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №10","04/10/2025","02:55 PM","04/10/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №8","04/10/2025","04:40 PM","04/10/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №8","04/11/2025","07:45 AM","04/11/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №8","04/11/2025","09:30 AM","04/11/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №1","04/11/2025","11:15 AM","04/11/2025","12:50 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №1","04/11/2025","01:10 PM","04/11/2025","02:45 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"СмП Лб DL ПЗПІ-23-5; №2","04/12/2025","11:15 AM","04/12/2025","12:50 PM","СмП Лб DL ПЗПІ-23-5"
"СмП Лб DL ПЗПІ-23-5; №2","04/12/2025","01:10 PM","04/12/2025","02:45 PM","СмП Лб DL ПЗПІ-23-5"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №8","04/12/2025","02:55 PM","04/12/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №8","04/12/2025","04:40 PM","04/12/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №9","04/15/2025","11:15 AM","04/15/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №9","04/15/2025","01:10 PM","04/15/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №4","04/15/2025","02:55 PM","04/15/2025","04:30 PM","ОС Пз DL ПЗПІ-23-5"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №2","04/16/2025","07:45 AM","04/16/2025","09:20 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №2","04/16/2025","09:30 AM","04/16/2025","11:05 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"ПрПА Лб DL ПЗПІ-23-5; №1","04/16/2025","11:15 AM","04/16/2025","12:50 PM","ПрПА Лб DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №1","04/16/2025","01:10 PM","04/16/2025","02:45 PM","ПрПА Лб DL ПЗПІ-23-5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №9","04/17/2025","11:15 AM","04/17/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №9","04/17/2025","01:10 PM","04/17/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №11","04/17/2025","02:55 PM","04/17/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №11","04/17/2025","04:40 PM","04/17/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №9","04/18/2025","07:45 AM","04/18/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №9","04/18/2025","09:30 AM","04/18/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; №1","04/18/2025","11:15 AM","04/18/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; №1","04/18/2025","01:10 PM","04/18/2025","02:45 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №9","04/19/2025","02:55 PM","04/19/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №9","04/19/2025","04:40 PM","04/19/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-5; №4","04/22/2025","07:45 AM","04/22/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №4","04/22/2025","09:30 AM","04/22/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №10","04/22/2025","11:15 AM","04/22/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №6","04/22/2025","01:10 PM","04/22/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"ОПJа Пз DL ПЗПІ-23-5; №2","04/23/2025","11:15 AM","04/23/2025","12:50 PM","ОПJа Пз DL ПЗПІ-23-5"
"ОПJа Пз DL ПЗПІ-23-5; №2","04/23/2025","01:10 PM","04/23/2025","02:45 PM","ОПJа Пз DL ПЗПІ-23-5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №10","04/24/2025","11:15 AM","04/24/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №10","04/24/2025","01:10 PM","04/24/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №12","04/24/2025","02:55 PM","04/24/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №9","04/24/2025","04:40 PM","04/24/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №10","04/25/2025","07:45 AM","04/25/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №10","04/25/2025","09:30 AM","04/25/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *ОDS Пз DL *ОDS(ПЗПІ-23-)-1; №2","04/25/2025","11:15 AM","04/25/2025","12:50 PM","*ОРО Пз DL *ОРО(ПЗПІ-23-)-1; *ОDS Пз DL *ОDS(ПЗПІ-23-)-1"
"*ОDS Пз DL *ОDS(ПЗПІ-23-)-1; №1","04/25/2025","01:10 PM","04/25/2025","02:45 PM","*ОDS Пз DL *ОDS(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №10","04/26/2025","02:55 PM","04/26/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №11","04/29/2025","11:15 AM","04/29/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №11","04/29/2025","01:10 PM","04/29/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №5","04/29/2025","02:55 PM","04/29/2025","04:30 PM","ОС Пз DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №2","04/30/2025","11:15 AM","04/30/2025","12:50 PM","ПрПА Лб DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №2","04/30/2025","01:10 PM","04/30/2025","02:45 PM","ПрПА Лб DL ПЗПІ-23-5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №11","05/01/2025","11:15 AM","05/01/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №11","05/01/2025","01:10 PM","05/01/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №13","05/01/2025","02:55 PM","05/01/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №10","05/01/2025","04:40 PM","05/01/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №1","05/02/2025","09:30 AM","05/02/2025","11:05 AM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №2","05/02/2025","11:15 AM","05/02/2025","12:50 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №2","05/02/2025","01:10 PM","05/02/2025","02:45 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"СмП Лб DL ПЗПІ-23-5; №3","05/03/2025","11:15 AM","05/03/2025","12:50 PM","СмП Лб DL ПЗПІ-23-5"
"СмП Лб DL ПЗПІ-23-5; №3","05/03/2025","01:10 PM","05/03/2025","02:45 PM","СмП Лб DL ПЗПІ-23-5"
"*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1; №2","05/03/2025","02:55 PM","05/03/2025","04:30 PM","*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1; №2","05/03/2025","04:40 PM","05/03/2025","06:15 PM","*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-5; №5","05/06/2025","07:45 AM","05/06/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №5","05/06/2025","09:30 AM","05/06/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №12","05/06/2025","11:15 AM","05/06/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №7","05/06/2025","01:10 PM","05/06/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №3","05/07/2025","07:45 AM","05/07/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №3","05/07/2025","09:30 AM","05/07/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ОПJа Лб DL ПЗПІ-23-5; №2","05/07/2025","11:15 AM","05/07/2025","12:50 PM","ОПJа Лб DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №2","05/07/2025","01:10 PM","05/07/2025","02:45 PM","ОПJа Лб DL ПЗПІ-23-5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №12","05/08/2025","11:15 AM","05/08/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-5; №12","05/08/2025","01:10 PM","05/08/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №14","05/08/2025","02:55 PM","05/08/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №11","05/08/2025","04:40 PM","05/08/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №1","05/09/2025","09:30 AM","05/09/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №1","05/09/2025","11:15 AM","05/09/2025","12:50 PM","*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1; №1","05/10/2025","02:55 PM","05/10/2025","04:30 PM","*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1; №1","05/10/2025","04:40 PM","05/10/2025","06:15 PM","*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №13","05/13/2025","11:15 AM","05/13/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №13","05/13/2025","01:10 PM","05/13/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ОС Пз DL ПЗПІ-23-5; №6","05/13/2025","02:55 PM","05/13/2025","04:30 PM","ОС Пз DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №3","05/14/2025","11:15 AM","05/14/2025","12:50 PM","ПрПА Лб DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №3","05/14/2025","01:10 PM","05/14/2025","02:45 PM","ПрПА Лб DL ПЗПІ-23-5"
"ФВ Пз DL ПЗПІ-23-5; №13","05/15/2025","01:10 PM","05/15/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №3","05/15/2025","02:55 PM","05/15/2025","04:30 PM","ОПJа Лб DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №3","05/15/2025","04:40 PM","05/15/2025","06:15 PM","ОПJа Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №6","05/16/2025","11:15 AM","05/16/2025","12:50 PM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №6","05/16/2025","01:10 PM","05/16/2025","02:45 PM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №7","05/20/2025","07:45 AM","05/20/2025","09:20 AM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №7","05/20/2025","09:30 AM","05/20/2025","11:05 AM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №14","05/20/2025","11:15 AM","05/20/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"Філ Пз DL ПЗПІ-23-5; №8","05/20/2025","01:10 PM","05/20/2025","02:45 PM","Філ Пз DL ПЗПІ-23-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №4","05/21/2025","07:45 AM","05/21/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №4","05/21/2025","09:30 AM","05/21/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ОПJа Лб DL ПЗПІ-23-5; №4","05/21/2025","11:15 AM","05/21/2025","12:50 PM","ОПJа Лб DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №4","05/21/2025","01:10 PM","05/21/2025","02:45 PM","ОПJа Лб DL ПЗПІ-23-5"
"ФВ Пз DL ПЗПІ-23-5; №14","05/22/2025","01:10 PM","05/22/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №12","05/22/2025","02:55 PM","05/22/2025","04:30 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №15","05/22/2025","04:40 PM","05/22/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Пз DL *МСП(ПЗПІ-23-)-1; №1","05/23/2025","09:30 AM","05/23/2025","11:05 AM","*МСП Пз DL *МСП(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №3","05/23/2025","11:15 AM","05/23/2025","12:50 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №3","05/23/2025","01:10 PM","05/23/2025","02:45 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"СмП Лб DL ПЗПІ-23-5; №4","05/24/2025","11:15 AM","05/24/2025","12:50 PM","СмП Лб DL ПЗПІ-23-5"
"СмП Лб DL ПЗПІ-23-5; №4","05/24/2025","01:10 PM","05/24/2025","02:45 PM","СмП Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №15","05/27/2025","11:15 AM","05/27/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №15","05/27/2025","01:10 PM","05/27/2025","02:45 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №4","05/28/2025","11:15 AM","05/28/2025","12:50 PM","ПрПА Лб DL ПЗПІ-23-5"
"ПрПА Лб DL ПЗПІ-23-5; №4","05/28/2025","01:10 PM","05/28/2025","02:45 PM","ПрПА Лб DL ПЗПІ-23-5"
"ФВ Пз DL ПЗПІ-23-5; №15","05/29/2025","01:10 PM","05/29/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №8","05/30/2025","11:15 AM","05/30/2025","12:50 PM","ОС Лб DL ПЗПІ-23-5"
"ОС Лб DL ПЗПІ-23-5; №8","05/30/2025","01:10 PM","05/30/2025","02:45 PM","ОС Лб DL ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №16","06/03/2025","09:30 AM","06/03/2025","11:05 AM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-5; №16","06/03/2025","11:15 AM","06/03/2025","12:50 PM","ІМ Пз DL, DL_1 ПЗПІ-23-5"
"ФВ Пз DL ПЗПІ-23-5; №16","06/03/2025","01:10 PM","06/03/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №5","06/04/2025","07:45 AM","06/04/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №5","06/04/2025","09:30 AM","06/04/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ОПJа Лб DL ПЗПІ-23-5; №5","06/04/2025","11:15 AM","06/04/2025","12:50 PM","ОПJа Лб DL ПЗПІ-23-5"
"ОПJа Лб DL ПЗПІ-23-5; №5","06/04/2025","01:10 PM","06/04/2025","02:45 PM","ОПJа Лб DL ПЗПІ-23-5"
"ФВ Пз DL ПЗПІ-23-5; №17","06/05/2025","01:10 PM","06/05/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-5"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №4","06/06/2025","11:15 AM","06/06/2025","12:50 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №4","06/06/2025","01:10 PM","06/06/2025","02:45 PM","*ОРО Лб DL *ОРО(ПЗПІ-23-)-1; *МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
